stage	timetodiagnose	Pathway	N	DE	p.value	p.adjusted
Distant	(2.8,4.2]	AMPK signaling pathway	120	36	7.36060093667263e-5	0.0029350330220366
Distant	(2.8,4.2]	Insulin resistance	107	33	8.00463551464529e-5	0.0029350330220366
Regional	(2.8,4.2]	Hippo signaling pathway	154	72	5.67070581739129e-4	0.00301827890280504
All	(2.8,4.2]	Circadian entrainment	96	28	1.57286965661827e-4	0.00324404366677518
All	(2.8,4.2]	Long-term depression	60	20	1.9026844683733e-4	0.00369344632095993
All	(4.2,5.6]	Colorectal cancer	86	20	5.7028593996184e-5	0.00376388720374814
Distant	(4.2,5.6]	Autophagy - animal	128	19	3.55460093767973e-5	0.0039100610314477
Regional	(2.8,4.2]	Circadian entrainment	96	48	7.58394997239322e-4	0.00391047420451525
Regional	(2.8,4.2]	Epstein-Barr virus infection	201	90	7.53209658039008e-4	0.00391047420451525
All	(4.2,5.6]	Inositol phosphate metabolism	74	18	7.11024801638101e-5	0.00391063640900955
Regional	(2.8,4.2]	Hepatocellular carcinoma	168	77	7.76302122937971e-4	0.00394122616260816
Regional	(2.8,4.2]	Prolactin signaling pathway	70	37	7.96734192781627e-4	0.00398367096390813
Distant	(2.8,4.2]	Cellular senescence	160	44	1.2269889558784e-4	0.00404906355439873
Regional	(2.8,4.2]	Chemokine signaling pathway	189	85	8.84348705438231e-4	0.00435574735514352
Regional	(2.8,4.2]	Dopaminergic synapse	131	62	9.05428766864701e-4	0.00439399254507869
Distant	(1.4,2.8]	PI3K-Akt signaling pathway	354	42	1.22591880208028e-4	0.0044950356076277
All	(5.6,7]	Phosphatidylinositol signaling system	99	16	1.3751935605502e-5	0.00453813874981568
Regional	(2.8,4.2]	Signaling pathways regulating pluripotency of stem cells	139	65	0.00102259564323589	0.00489067481547603
Regional	(2.8,4.2]	Chagas disease (American trypanosomiasis)	102	50	0.0010532025866722	0.00496509790859752
Regional	(2.8,4.2]	B cell receptor signaling pathway	71	37	0.0011273192852344	0.0052396530158782
Distant	(2.8,4.2]	Endocrine resistance	98	30	1.9313997027867e-4	0.00579419910836012
Regional	(2.8,4.2]	Adipocytokine signaling pathway	69	36	0.00127290922494868	0.0058341672810148
Regional	(2.8,4.2]	Oocyte meiosis	125	59	0.00129383625391611	0.00584884881907286
Regional	(2.8,4.2]	cGMP-PKG signaling pathway	163	74	0.00135070379727241	0.00602340882567426
Regional	(2.8,4.2]	Bacterial invasion of epithelial cells	74	38	0.00139054530649616	0.00607391629289093
Regional	(2.8,4.2]	Colorectal cancer	86	43	0.00139884132805973	0.00607391629289093
Distant	(1.4,2.8]	Pathways in cancer	526	56	1.86194215902687e-4	0.00614440912478868
Distant	(2.8,4.2]	Phospholipase D signaling pathway	146	40	2.67761637618964e-4	0.00615766472626154
Distant	(2.8,4.2]	Autophagy - animal	128	36	3.07808848212423e-4	0.00615766472626154
Distant	(2.8,4.2]	Endocytosis	244	60	2.57502072056668e-4	0.00615766472626154
Distant	(2.8,4.2]	PI3K-Akt signaling pathway	354	81	3.05244278257133e-4	0.00615766472626154
Distant	(2.8,4.2]	Insulin signaling pathway	137	38	2.88393373903908e-4	0.00615766472626154
Distant	(2.8,4.2]	Pathways in cancer	526	113	3.17213031352867e-4	0.00615766472626154
All	(2.8,4.2]	Relaxin signaling pathway	130	34	3.37879512201149e-4	0.00619445772368774
Regional	(2.8,4.2]	Fc gamma R-mediated phagocytosis	91	45	0.0014646229267226	0.00627695540023975
All	(2.8,4.2]	cAMP signaling pathway	199	47	3.7777727518853e-4	0.0063043093057899
All	(2.8,4.2]	Morphine addiction	91	26	3.82079351866054e-4	0.0063043093057899
Regional	(2.8,4.2]	Mitophagy - animal	65	34	0.00162339712217107	0.00661384012736365
Regional	(2.8,4.2]	TGF-beta signaling pathway	84	42	0.00158172832527314	0.00661384012736365
Regional	(2.8,4.2]	Circadian rhythm	31	19	0.00160318306864161	0.00661384012736365
Regional	(2.8,4.2]	Renin secretion	65	34	0.00162339712217107	0.00661384012736365
Distant	(1.4,2.8]	Human T-cell leukemia virus 1 infection	219	29	2.23205743036603e-4	0.0066961722910981
All	(2.8,4.2]	Breast cancer	147	37	4.27314294088705e-4	0.00671493890710822
Regional	(2.8,4.2]	Wnt signaling pathway	149	68	0.00175825689430368	0.00707591189170994
All	(8.4,10]	Endocytosis	244	33	2.16937754713387e-5	0.00715894590554178
All	(2.8,4.2]	Insulin resistance	107	29	4.79538073138212e-4	0.00719307109707319
Regional	(2.8,4.2]	Oxytocin signaling pathway	152	69	0.00193594211891289	0.00769711926796691
All	(2.8,4.2]	Osteoclast differentiation	128	33	5.43000039608313e-4	0.00779087013351058
Regional	(2.8,4.2]	Estrogen signaling pathway	137	63	0.00203113156968658	0.00797944545234015
Regional	(2.8,4.2]	Regulation of lipolysis in adipocytes	54	29	0.00207567980653992	0.00805852160186089
All	(8.4,10]	Wnt signaling pathway	149	23	5.03733671926288e-5	0.00831160558678376
Regional	(7,8.4]	Th17 cell differentiation	107	11	2.57235995108384e-5	0.00848878783857669
All	(5.6,7]	MAPK signaling pathway	295	30	5.38928573878844e-5	0.00889232146900093
Distant	(2.8,4.2]	Chronic myeloid leukemia	76	24	4.95889907796643e-4	0.00909131497627178
Distant	(1.4,2.8]	Dopaminergic synapse	131	20	3.31034923408871e-4	0.00910346039374395
Regional	(2.8,4.2]	SNARE interactions in vesicular transport	34	20	0.00245310085096241	0.00941306140485579
Distant	(2.8,4.2]	FoxO signaling pathway	132	36	5.84737000212252e-4	0.0101559584247391
Distant	(2.8,4.2]	Breast cancer	147	39	6.39370326441295e-4	0.0105496103862813
All	(8.4,10]	Focal adhesion	199	27	1.1534019181087e-4	0.0105524610692821
All	(8.4,10]	Adherens junction	72	14	1.27908619021602e-4	0.0105524610692821
Distant	(2.8,4.2]	Morphine addiction	91	27	6.85884312539771e-4	0.0107781820541964
All	(2.8,4.2]	Endocytosis	244	54	7.86296776064575e-4	0.0108115806708879
Distant	(2.8,4.2]	Renal cell carcinoma	69	22	7.25128016533416e-4	0.0108769202480012
Distant	(1.4,2.8]	Hippo signaling pathway	154	22	4.42922469325852e-4	0.0112434165290408
Regional	(2.8,4.2]	Long-term potentiation	67	34	0.00313313597942455	0.0118843088874724
Distant	(2.8,4.2]	Cell adhesion molecules (CAMs)	144	38	8.33306778072513e-4	0.0119561407288665
Distant	(2.8,4.2]	Human papillomavirus infection	339	76	8.76912313007502e-4	0.0120575443038531
All	(2.8,4.2]	PI3K-Akt signaling pathway	354	73	9.17897392839344e-4	0.0121162455854793
All	(2.8,4.2]	Long-term potentiation	67	20	9.59906069706214e-4	0.0121620283319219
All	(2.8,4.2]	Nicotine addiction	40	14	9.95075045339072e-4	0.0121620283319219
Regional	(2.8,4.2]	p53 signaling pathway	72	36	0.00331901153987219	0.0122379621373894
Regional	(2.8,4.2]	Glutamatergic synapse	114	53	0.00333762603746985	0.0122379621373894
Regional	(2.8,4.2]	Long-term depression	60	31	0.00329148400359899	0.0122379621373894
All	(4.2,5.6]	Pathways in cancer	526	71	2.69141234467793e-4	0.0126880867677674
All	(8.4,10]	Oxytocin signaling pathway	152	22	1.9306946968897e-4	0.012742584999472
Regional	(2.8,4.2]	Measles	132	60	0.00355899046312434	0.0129062291519893
All	(2.8,4.2]	Human papillomavirus infection	339	70	0.00111997984427678	0.0131997624504049
Distant	(1.4,2.8]	Ras signaling pathway	232	29	5.93214345767377e-4	0.0132216657580439
Distant	(1.4,2.8]	Ubiquitin mediated proteolysis	137	20	6.00984807183814e-4	0.0132216657580439
Distant	(2.8,4.2]	Pancreatic cancer	75	23	0.0010157241561411	0.0134075588610626
Distant	(4.2,5.6]	EGFR tyrosine kinase inhibitor resistance	79	13	2.14662215575191e-4	0.0141677062279626
Distant	(4.2,5.6]	HIF-1 signaling pathway	100	15	2.08646786872118e-4	0.0141677062279626
Regional	(2.8,4.2]	Synaptic vesicle cycle	63	32	0.00401821084683253	0.0144131476027688
All	[0,1.4]	Endocytosis	244	33	4.45119535591942e-5	0.0146889446745341
All	(2.8,4.2]	GABAergic synapse	88	24	0.00130060443906154	0.0147999815479417
Regional	(2.8,4.2]	Epithelial cell signaling in Helicobacter pylori infection	68	34	0.00425680436474573	0.0151047896813558
Distant	(1.4,2.8]	Cellular senescence	160	22	7.54146180306729e-4	0.0155542649688262
Regional	(2.8,4.2]	Platelet activation	123	56	0.00456263756584947	0.0159778398846502
Regional	(2.8,4.2]	Herpes simplex infection	185	80	0.00459968117891447	0.0159778398846502
All	(5.6,7]	FoxO signaling pathway	132	17	1.47113006585038e-4	0.0161824307243542
Regional	(2.8,4.2]	Endocrine and other factor-regulated calcium reabsorption	47	25	0.00487695811304595	0.0163528672526569
Regional	(2.8,4.2]	Nicotine addiction	40	22	0.00477540290038231	0.0163528672526569
Regional	(2.8,4.2]	Hepatitis C	131	59	0.00490586017579708	0.0163528672526569
Regional	(2.8,4.2]	Acute myeloid leukemia	66	33	0.00482279442377413	0.0163528672526569
Distant	(1.4,2.8]	T cell receptor signaling pathway	101	16	8.49602731042117e-4	0.0164922883084646
Distant	(1.4,2.8]	Mitophagy - animal	65	12	9.47271779538317e-4	0.0173666492915358
Distant	(1.4,2.8]	Small cell lung cancer	93	15	0.00101141732062746	0.0175667218845823
Regional	(2.8,4.2]	cAMP signaling pathway	199	85	0.0053239726338127	0.0175691096915819
Regional	(2.8,4.2]	mRNA surveillance pathway	91	43	0.00541368208181581	0.017688268188111
All	(4.2,5.6]	Phosphatidylinositol signaling system	99	20	4.36195067513192e-4	0.0179930465349192
All	(8.4,10]	Insulin signaling pathway	137	20	3.33179011737194e-4	0.0183248456455456
Distant	(1.4,2.8]	Hepatitis B	144	20	0.001139947503523	0.0188091338081296
Distant	(2.8,4.2]	Neurotrophin signaling pathway	119	32	0.00148843904815511	0.0188917263804302
All	(4.2,5.6]	MAPK signaling pathway	295	44	5.22274501482842e-4	0.0191500650543708
All	(5.6,7]	Ras signaling pathway	232	24	2.34712964334351e-4	0.0193638195575839
All	(4.2,5.6]	Breast cancer	147	26	5.90829459425683e-4	0.0194973721610475
Localized	(1.4,2.8]	Cell adhesion molecules (CAMs)	144	15	1.2467531028252e-4	0.0205714261966159
Regional	(2.8,4.2]	Th17 cell differentiation	107	49	0.00668598843832077	0.0216311390651554
All	(5.6,7]	Inositol phosphate metabolism	74	11	6.44361090866691e-4	0.0218152082463748
All	(5.6,7]	Rap1 signaling pathway	206	21	6.95696303824828e-4	0.0218152082463748
All	(5.6,7]	Cellular senescence	160	18	5.20518266172536e-4	0.0218152082463748
All	(5.6,7]	Axon guidance	175	19	5.73887391802728e-4	0.0218152082463748
All	(5.6,7]	Neurotrophin signaling pathway	119	15	4.53299443879172e-4	0.0218152082463748
All	(5.6,7]	Breast cancer	147	17	5.37806586197539e-4	0.0218152082463748
All	(5.6,7]	Choline metabolism in cancer	99	13	7.27173608212496e-4	0.0218152082463748
Localized	(7,8.4]	TGF-beta signaling pathway	84	13	1.35682583632888e-4	0.0223876262994266
Localized	(7,8.4]	Hypertrophic cardiomyopathy (HCM)	83	13	1.19682739288658e-4	0.0223876262994266
Distant	(2.8,4.2]	Thyroid hormone signaling pathway	116	31	0.00194982681894877	0.0230321741617996
Distant	(2.8,4.2]	Bacterial invasion of epithelial cells	74	22	0.00202403954755208	0.0230321741617996
Distant	(2.8,4.2]	Central carbon metabolism in cancer	65	20	0.00202319625601834	0.0230321741617996
Distant	(1.4,2.8]	Endocrine resistance	98	15	0.00174587150449282	0.0230455038593053
Distant	(1.4,2.8]	Apelin signaling pathway	137	19	0.00152919252421334	0.0230455038593053
Distant	(1.4,2.8]	Gap junction	88	14	0.00168915620710407	0.0230455038593053
Distant	(1.4,2.8]	Renal cell carcinoma	69	12	0.00163052751725905	0.0230455038593053
Distant	(1.4,2.8]	Gastric cancer	149	20	0.00174177074682051	0.0230455038593053
Distant	(4.2,5.6]	Endocrine resistance	98	14	5.62500310197268e-4	0.0232031377956373
Distant	(4.2,5.6]	Type II diabetes mellitus	46	9	5.46898104155126e-4	0.0232031377956373
Distant	(4.2,5.6]	Insulin resistance	107	15	4.43396655258377e-4	0.0232031377956373
Regional	(2.8,4.2]	Viral carcinogenesis	201	85	0.00728866604635075	0.0233520368475315
Regional	(2.8,4.2]	Gastric cancer	149	65	0.00792058951744444	0.0251326398149679
All	(2.8,4.2]	Focal adhesion	199	44	0.00236951226374048	0.0252238402269148
All	(2.8,4.2]	Hepatitis B	144	34	0.00233622303392715	0.0252238402269148
Distant	(2.8,4.2]	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	24	10	0.00234263442129448	0.0257689786342393
Regional	(2.8,4.2]	Adrenergic signaling in cardiomyocytes	144	63	0.00821051194033515	0.0258044660981962
Distant	(2.8,4.2]	Non-small cell lung cancer	66	20	0.00247715141092935	0.0263696763098931
Distant	(2.8,4.2]	cAMP signaling pathway	199	47	0.00280003135582005	0.026446515898131
Distant	(2.8,4.2]	C-type lectin receptor signaling pathway	104	28	0.00280493350434723	0.026446515898131
Distant	(2.8,4.2]	B cell receptor signaling pathway	71	21	0.00271577588829115	0.026446515898131
Distant	(2.8,4.2]	Hepatocellular carcinoma	168	41	0.00270135428319925	0.026446515898131
Distant	(1.4,2.8]	AMPK signaling pathway	120	17	0.00210983791340865	0.026778711977879
Distant	(1.4,2.8]	cGMP-PKG signaling pathway	163	21	0.00226333925254013	0.0268155503447407
Distant	(1.4,2.8]	FoxO signaling pathway	132	18	0.00243777730406734	0.0268155503447407
Distant	(1.4,2.8]	p53 signaling pathway	72	12	0.0023740898896152	0.0268155503447407
Distant	(1.4,2.8]	Regulation of lipolysis in adipocytes	54	10	0.00242024612875911	0.0268155503447407
Distant	(2.8,4.2]	Long-term potentiation	67	20	0.00301378607794694	0.0268797136681754
Distant	(2.8,4.2]	Glutamatergic synapse	114	30	0.00294778532903116	0.0268797136681754
Regional	(2.8,4.2]	Gap junction	88	41	0.00876507112277893	0.0272874855709155
Regional	(2.8,4.2]	Vasopressin-regulated water reabsorption	44	23	0.00893870664371909	0.0275679737610028
Distant	(1.4,2.8]	Cushing syndrome	154	20	0.00259429904492278	0.0276167317685328
Distant	(1.4,2.8]	Platelet activation	123	17	0.00275616243846966	0.0284229251467184
Distant	(2.8,4.2]	Rap1 signaling pathway	206	48	0.00338392011053118	0.028633170166033
Distant	(2.8,4.2]	Aldosterone-regulated sodium reabsorption	37	13	0.0033668283798611	0.028633170166033
Distant	(1.4,2.8]	GnRH signaling pathway	93	14	0.00287925820848845	0.0287925820848845
Distant	(2.8,4.2]	Relaxin signaling pathway	130	33	0.00350424055702948	0.0289099845954932
Regional	(2.8,4.2]	Melanogenesis	101	46	0.00949480575412125	0.029011906470926
All	(1.4,2.8]	Pyruvate metabolism	39	4	8.8481794338833e-5	0.0291989921318149
Distant	(1.4,2.8]	ErbB signaling pathway	85	13	0.00348842896861646	0.0295174758882931
Distant	(1.4,2.8]	Oocyte meiosis	125	17	0.00327259776211114	0.0295174758882931
Distant	(1.4,2.8]	Renin secretion	65	11	0.00314825136546345	0.0295174758882931
Distant	(1.4,2.8]	Human cytomegalovirus infection	225	26	0.00344212059671096	0.0295174758882931
Distant	(1.4,2.8]	Pancreatic cancer	75	12	0.00337354291431582	0.0295174758882931
Distant	(1.4,2.8]	Central carbon metabolism in cancer	65	11	0.00314825136546345	0.0295174758882931
All	(8.4,10]	Adrenergic signaling in cardiomyocytes	144	20	6.44684351377538e-4	0.0303922622792268
All	(2.8,4.2]	Amphetamine addiction	68	19	0.00297367158596122	0.0306659882302251
Regional	(2.8,4.2]	Toll-like receptor signaling pathway	104	47	0.0104458562533271	0.0316250693908068
Regional	(2.8,4.2]	VEGF signaling pathway	59	29	0.0106904923698327	0.0320714771094982
All	(2.8,4.2]	C-type lectin receptor signaling pathway	104	26	0.00321609247665677	0.0321609247665677
Distant	(1.4,2.8]	Wnt signaling pathway	149	19	0.00403539366405699	0.0328120581347083
Distant	(1.4,2.8]	Insulin resistance	107	15	0.0041760801262356	0.0328120581347083
Distant	(1.4,2.8]	Endometrial cancer	58	10	0.00416688664069215	0.0328120581347083
Distant	(4.2,5.6]	PI3K-Akt signaling pathway	354	33	8.97725034917729e-4	0.03291658461365
All	(2.8,4.2]	Dopaminergic synapse	131	31	0.00343517426680463	0.0333413972954567
All	(5.6,7]	Sphingolipid signaling pathway	118	14	0.00127551688857852	0.0334951661389357
All	(5.6,7]	Phospholipase D signaling pathway	146	16	0.00139249114913917	0.0334951661389357
All	(5.6,7]	B cell receptor signaling pathway	71	10	0.00171862152815572	0.0334951661389357
All	(5.6,7]	Pathways in cancer	526	40	0.00170584508277415	0.0334951661389357
All	(5.6,7]	Endometrial cancer	58	9	0.00145041366452402	0.0334951661389357
All	(5.6,7]	Gastric cancer	149	16	0.00172550855867244	0.0334951661389357
Regional	(7,8.4]	Th1 and Th2 cell differentiation	92	9	2.0860945109556e-4	0.0344205594307674
All	(2.8,4.2]	Estrogen signaling pathway	137	32	0.00369652543514196	0.0348529541027671
All	(4.2,5.6]	Prolactin signaling pathway	70	15	0.00117919268372665	0.0353757805117995
All	(5.6,7]	Prostate cancer	97	12	0.00194859626055872	0.03572426477691
All	(5.6,7]	Oxytocin signaling pathway	152	16	0.00212295139507315	0.0368723137039022
Localized	(7,8.4]	FoxO signaling pathway	132	16	4.46935905021561e-4	0.0372729426335972
Localized	(7,8.4]	PI3K-Akt signaling pathway	354	31	5.81809287659998e-4	0.0372729426335972
Localized	(7,8.4]	Circadian rhythm	31	7	4.79237572753055e-4	0.0372729426335972
